id,run_id,source_url,school_id,department_code,course_code,course_title,section,section_instructor,term,isbn,title,author,material_adoption_code,crawled_on,created_on,updated_on
744,15,https://kent.bncollege.com/course-material-caching/course?campus=8153&term=8153_2_26_W&course=8153_2_26_W_605_40030_1&section=600&oer=false,NULL,8153_2_605,40030,40030,600,NULL,SPRING 2026,9780323697071,Varcarolis' Foundations of Psychiatric-Mental Health Nursing,"halter, margaret jordan",Required,2026-03-11 16:19:56.506438+00,2026-03-11 13:40:23.993966+00,2026-03-11 16:21:35.749548+00
997,15,https://kent.bncollege.com/course-material-caching/course?campus=8153&term=8153_2_26_W&course=8153_2_26_W_590_36916_2&section=601&oer=false,NULL,8153_2_590,36916,36916,601,NULL,SPRING 2026,9780971478411,Fresh Approach to the Snare Drum,"wessels, mark",Recommended,2026-03-11 16:21:35.622814+00,2026-03-11 13:40:23.993966+00,2026-03-11 16:21:35.749548+00
619,15,https://kent.bncollege.com/course-material-caching/course?campus=8153&term=8153_2_26_W&course=8153_2_26_W_660_13021_1&section=600&oer=false,NULL,8153_2_660,13021,13021,600,NULL,SPRING 2026,,NULL,NULL,No Course Materials Required,2026-03-11 16:19:08.537856+00,2026-03-11 13:40:23.993966+00,2026-03-11 16:21:35.749548+00
743,15,https://kent.bncollege.com/course-material-caching/course?campus=8153&term=8153_2_26_W&course=8153_2_26_W_605_40030_2&section=601&oer=false,NULL,8153_2_605,40030,40030,601,NULL,SPRING 2026,9780323697071,Varcarolis' Foundations of Psychiatric-Mental Health Nursing,"halter, margaret jordan",Required,2026-03-11 16:19:55.933988+00,2026-03-11 13:40:23.993966+00,2026-03-11 16:21:35.749548+00
874,15,https://kent.bncollege.com/course-material-caching/course?campus=8153&term=8153_2_26_W&course=8153_2_26_W_595_20219_5&section=480&oer=false,NULL,8153_2_595,20219,20219,480,NULL,SPRING 2026,9780323792424,"Lewis's Medical-Surgical Nursing, 2 Volume Set - Package","harding, mariann m.",Required,2026-03-11 16:20:41.595992+00,2026-03-11 13:40:23.993966+00,2026-03-11 16:21:35.749548+00
996,15,https://kent.bncollege.com/course-material-caching/course?campus=8153&term=8153_2_26_W&course=8153_2_26_W_590_36916_2&section=601&oer=false,NULL,8153_2_590,36916,36916,601,NULL,SPRING 2026,9781934638194,Intermediate Snare Drum Studies,"peters, mitchell",Recommended,2026-03-11 16:21:35.622814+00,2026-03-11 13:40:23.993966+00,2026-03-11 16:21:35.749548+00
555,15,https://kent.bncollege.com/course-material-caching/course?campus=8153&term=8153_2_26_W&course=8153_2_26_W_680_11762_17&section=602&oer=false,NULL,8153_2_680,11762,11762,602,NULL,SPRING 2026,,NULL,NULL,No Course Materials Required,2026-03-11 16:18:35.528184+00,2026-03-11 13:40:23.993966+00,2026-03-11 16:21:35.749548+00
618,15,https://kent.bncollege.com/course-material-caching/course?campus=8153&term=8153_2_26_W&course=8153_2_26_W_660_13021_2&section=651&oer=false,NULL,8153_2_660,13021,13021,651,NULL,SPRING 2026,,NULL,NULL,Course Materials Selection Pending,2026-03-11 16:19:07.988248+00,2026-03-11 13:40:23.993966+00,2026-03-11 16:21:35.749548+00
682,15,https://kent.bncollege.com/course-material-caching/course?campus=8153&term=8153_2_26_W&course=8153_2_26_W_627_16638_1&section=800&oer=false,NULL,8153_2_627,16638,16638,800,NULL,SPRING 2026,,NULL,NULL,Course Materials Selection Pending,2026-03-11 16:19:30.744122+00,2026-03-11 13:40:23.993966+00,2026-03-11 16:21:35.749548+00
739,15,https://kent.bncollege.com/course-material-caching/course?campus=8153&term=8153_2_26_W&course=8153_2_26_W_605_40045_1&section=400&oer=false,NULL,8153_2_605,40045,40045,400,NULL,SPRING 2026,,NULL,NULL,No Course Materials Required,2026-03-11 16:19:55.23896+00,2026-03-11 13:40:23.993966+00,2026-03-11 16:21:35.749548+00
