source_url,school_id,department_code,course_code,course_title,section,section_instructor,term,isbn,title,author,material_adoption_code,crawled_on,updated_on
https://midwestern.ecampus.com/,3023764,ANATD,|0520,Human Neuroscience,|16,"Maria Traka, Ph.D.",SPRING TERM 2026,,,,This course does not require any course materials,2026-03-22 01:09:25,2026-03-22 01:09:25
https://midwestern.ecampus.com/,3023764,ANATD,|0955,Human Neuroscience,|06,"Maria Traka, Ph.D.",SPRING TERM 2026,,,,This course does not require any course materials,2026-03-22 01:09:25,2026-03-22 01:09:25
https://midwestern.ecampus.com/,3023764,ANATD,|1521,Neuroscience,|01,"Michele Fornaro, Ph.D.",SPRING TERM 2026,,,,This course does not require any course materials,2026-03-22 01:09:25,2026-03-22 01:09:25
https://midwestern.ecampus.com/,3023764,BIOCD,|0530,Human Genetics,|16,"Renier Velez-Cruz, Ph.D.",SPRING TERM 2026,,,,This course does not require any course materials,2026-03-22 01:09:25,2026-03-22 01:09:25
https://midwestern.ecampus.com/,3023764,BIOCD,|0580,Human Genetics,|06,"Renier Velez-Cruz, Ph.D.",SPRING TERM 2026,,,,This course does not require any course materials,2026-03-22 01:09:25,2026-03-22 01:09:25
https://midwestern.ecampus.com/,3023764,BISCD,|0540,Pathophysiology,|16,"Michael Fay, Ph.D.",SPRING TERM 2026,9780323790185,ROBBINS & KUMAR BASIC PATHOLOGY,"KUMAR, VINAY",Recommended,2026-03-22 01:09:25,2026-03-22 01:09:25
https://midwestern.ecampus.com/,3023764,BISCD,|0557,Principles of Biostatistics,|06,"Kristina Martinez-Guryn, Ph.D., RD",SPRING TERM 2026,9780190643560,INTUITIVE BIOSTATISTICS A NONMATHEMATICAL GUIDE TO STATISTICAL THINKING,"MOTULSKY, HARVEY",Optional,2026-03-22 01:09:25,2026-03-22 01:09:25
https://midwestern.ecampus.com/,3023764,BISCD,|0557,Principles of Biostatistics,|06,"Kristina Martinez-Guryn, Ph.D., RD",SPRING TERM 2026,9780803661134,FOUNDATIONS OF CLINICAL RESEARCH,"PORTNEY, LESLIE G.",Required,2026-03-22 01:09:25,2026-03-22 01:09:25
https://midwestern.ecampus.com/,3023764,BISCD,|0558,Literature Review,|06,"Joshua Gasiorowski, Ph.D.",SPRING TERM 2026,,,,This course does not require any course materials,2026-03-22 01:09:25,2026-03-22 01:09:25
https://midwestern.ecampus.com/,3023764,BISCD,|0560,Laboratory Research for Thesis,|06,"Mae Ciancio, Ph.D.",SPRING TERM 2026,,,,This course does not require any course materials,2026-03-22 01:09:25,2026-03-22 01:09:25
