source_url,school_id,department_code,course_code,course_title,section,section_instructor,term,isbn,title,author,material_adoption_code,crawled_on,updated_on
https://ssbprod.nwmissouri.edu/PROD/nwtext.P_Displaydata,3050213,ACCT,|51201,ACCOUNTING I,|01,"Holder,Christopher",Fall 2026,,,,This course does not require any course materials,2026-03-23 04:41:30,2026-03-23 04:41:30
https://ssbprod.nwmissouri.edu/PROD/nwtext.P_Displaydata,3050213,ACCT,|51201,ACCOUNTING I,|02,"Kauzlarich,Laura",Fall 2026,,,,This course does not require any course materials,2026-03-23 04:41:30,2026-03-23 04:41:30
https://ssbprod.nwmissouri.edu/PROD/nwtext.P_Displaydata,3050213,ACCT,|51201,ACCOUNTING I,|03,"Kauzlarich,Laura",Fall 2026,,,,This course does not require any course materials,2026-03-23 04:41:30,2026-03-23 04:41:30
https://ssbprod.nwmissouri.edu/PROD/nwtext.P_Displaydata,3050213,ACCT,|51201,ACCOUNTING I,|04,"Kauzlarich,Laura",Fall 2026,,,,This course does not require any course materials,2026-03-23 04:41:30,2026-03-23 04:41:30
https://ssbprod.nwmissouri.edu/PROD/nwtext.P_Displaydata,3050213,ACCT,|51201,ACCOUNTING I,|05,"Holder,Christopher",Fall 2026,,,,This course does not require any course materials,2026-03-23 04:41:30,2026-03-23 04:41:30
https://ssbprod.nwmissouri.edu/PROD/nwtext.P_Displaydata,3050213,ACCT,|51201,ACCOUNTING I,|06,"Wellhausen,Melissa",Fall 2026,,,,This course does not require any course materials,2026-03-23 04:41:30,2026-03-23 04:41:30
https://ssbprod.nwmissouri.edu/PROD/nwtext.P_Displaydata,3050213,ACCT,|51201,ACCOUNTING I,|07,"Wellhausen,Melissa",Fall 2026,,,,This course does not require any course materials,2026-03-23 04:41:30,2026-03-23 04:41:30
https://ssbprod.nwmissouri.edu/PROD/nwtext.P_Displaydata,3050213,ACCT,|51201,ACCOUNTING I,|08,"Messner,Shelby",Fall 2026,,,,This course does not require any course materials,2026-03-23 04:41:30,2026-03-23 04:41:30
https://ssbprod.nwmissouri.edu/PROD/nwtext.P_Displaydata,3050213,ACCT,|51201,ACCOUNTING I,|80,"Beck,Shandy",Fall 2026,,,,This course does not require any course materials,2026-03-23 04:41:30,2026-03-23 04:41:30
https://ssbprod.nwmissouri.edu/PROD/nwtext.P_Displaydata,3050213,ACCT,|51201,ACCOUNTING I,|81,"Beck,Shandy",Fall 2026,,,,This course does not require any course materials,2026-03-23 04:41:30,2026-03-23 04:41:30
https://ssbprod.nwmissouri.edu/PROD/nwtext.P_Displaydata,3050213,ACCT,|51201,ACCOUNTING I,|82,"Beck,Shandy",Fall 2026,,,,This course does not require any course materials,2026-03-23 04:41:30,2026-03-23 04:41:30
https://ssbprod.nwmissouri.edu/PROD/nwtext.P_Displaydata,3050213,ACCT,|51201,ACCOUNTING I,|83,"Beck,Shandy",Fall 2026,,,,This course does not require any course materials,2026-03-23 04:41:30,2026-03-23 04:41:30
https://ssbprod.nwmissouri.edu/PROD/nwtext.P_Displaydata,3050213,ACCT,|51202,ACCOUNTING II,|01,"Holder,Christopher",Fall 2026,,,,This course does not require any course materials,2026-03-23 04:41:30,2026-03-23 04:41:30
