source_url,school_id,department_code,course_code,course_title,section,section_instructor,term,isbn,title,author,material_adoption_code,crawled_on,updated_on
https://www.ultimatemedical.edu/pdfs/Textbook_List.pdf,3012793,BC,|BC2025,Diagnostic Coding for MBC,|Online,,Spring 2026,9798892580885,CPC Textbook 2025 ed (AAPC),,Required,2026-03-25 00:00:00,2026-03-25 00:00:00
https://www.ultimatemedical.edu/pdfs/Textbook_List.pdf,3012793,BC,|BC2025,Diagnostic Coding for MBC,|Online,,Spring 2026,9781635277432,ICD 10 CM 2025 ed (AAPC),,Required,2026-03-25 00:00:00,2026-03-25 00:00:00
https://www.ultimatemedical.edu/pdfs/Textbook_List.pdf,3012793,BC,|BC2530,Procedural Coding I for MBC,|Online,,Spring 2026,9798892580885,CPC Textbook 2025 ed (AAPC),,Required,2026-03-25 00:00:00,2026-03-25 00:00:00
https://www.ultimatemedical.edu/pdfs/Textbook_List.pdf,3012793,BC,|BC2530,Procedural Coding I for MBC,|Online,,Spring 2026,9781635277449,HCPCS 2025 ed (AAPC),,Required,2026-03-25 00:00:00,2026-03-25 00:00:00
https://www.ultimatemedical.edu/pdfs/Textbook_List.pdf,3012793,BC,|BC2530,Procedural Coding I for MBC,|Online,,Spring 2026,9781635277432,ICD 10 CM 2025 ed (AAPC),,Required,2026-03-25 00:00:00,2026-03-25 00:00:00
https://www.ultimatemedical.edu/pdfs/Textbook_List.pdf,3012793,BC,|BC2535,Procedural Coding II for MBC,|Online,,Spring 2026,9798892580885,CPC Textbook 2025 ed (AAPC),,Required,2026-03-25 00:00:00,2026-03-25 00:00:00
https://www.ultimatemedical.edu/pdfs/Textbook_List.pdf,3012793,BC,|BC2535,Procedural Coding II for MBC,|Online,,Spring 2026,9781635277449,HCPCS 2025 ed (AAPC),,Required,2026-03-25 00:00:00,2026-03-25 00:00:00
https://www.ultimatemedical.edu/pdfs/Textbook_List.pdf,3012793,BC,|BC2535,Procedural Coding II for MBC,|Online,,Spring 2026,9781635277432,ICD 10 CM 2025 ed (AAPC),,Required,2026-03-25 00:00:00,2026-03-25 00:00:00
https://www.ultimatemedical.edu/pdfs/Textbook_List.pdf,3012793,BC,|BC3035,Billing and Coding Application with Simulation,|Online,,Spring 2026,9781635277449,HCPCS 2025 ed (AAPC),,Required,2026-03-25 00:00:00,2026-03-25 00:00:00
https://www.ultimatemedical.edu/pdfs/Textbook_List.pdf,3012793,BC,|BC3035,Billing and Coding Application with Simulation,|Online,,Spring 2026,9781635277432,ICD 10 CM 2025 ed (AAPC),,Required,2026-03-25 00:00:00,2026-03-25 00:00:00
https://www.ultimatemedical.edu/pdfs/Textbook_List.pdf,3012793,HT,|HT2600,Information Technology in the Healthcare Environment,|Online,,Spring 2026,9781584268840,"Introduction to Information Systems for Health Information Technology, 5e",,Required,2026-03-25 00:00:00,2026-03-25 00:00:00
https://www.ultimatemedical.edu/pdfs/Textbook_List.pdf,3012793,HT,|HT2700,"Health Information Leadership Roles, Theories, and Skills",|Online,,Spring 2026,9781584266815,Management for the Health Information Professional 2nd ed,,Required,2026-03-25 00:00:00,2026-03-25 00:00:00
https://www.ultimatemedical.edu/pdfs/Textbook_List.pdf,3012793,AC,|AC1000,Principles of Accounting I,|Online,,Spring 2026,9780357989388,College Accounting Ch 1-27 24th ed,,Required,2026-03-25 00:00:00,2026-03-25 00:00:00
https://www.ultimatemedical.edu/pdfs/Textbook_List.pdf,3012793,AC,|AC1020,Principles of Accounting II,|Online,,Spring 2026,9780357989388,College Accounting Ch 1-27 24th ed,,Required,2026-03-25 00:00:00,2026-03-25 00:00:00
